lvl	Key	Value
>>>	Teaser	"Don't like 'em...
>>>	Name	"I know owt about any children."
>	Name	The Ivories
>	Description	The bar is a cacophony of ringing, watery bellows that seem to come from the floor and ceiling. Fortunately, some gestures are universal, and you are able to procure the local tipple: 'tartar', a rum made from dental pulp served in a sewn leather pouch with a steel straw. More experienced drinkers aspirate it straight up either nostril.
>	Teaser	The bar is a cacophony of ringing, watery bellows that seem to come from the floor and ceiling...
>>	Description	She lounges with a pouch of best plaque, and has acquired a corn-cob eelpipe of the type favoured by locals: noxious clouds of ink rise as she inhales with pleasure.
>>>	Description	deductress is charming but taunting, drops hints about how she's confident a dastardly blackguard is at the heart of all this, but is also finding this particular villainy a bit more rigorous than usual. "the presence - or absence rather - of children is disturbing, but... The game is afoot! Or a-fin, rather."
>>>	Teaser	deductress is charming but taunting, drops hints about how she's confident a dastardly blackguard is at the heart of all this, but is also finding this particular villainy a bit more rigorous than usual...
>>	Name	Talk to the Deductress
>>>	Description	\r\npushed back
>>>	Teaser	\r\npushed back
>>	Name	Investigate the Disappearances
>>>	Description	\r\n> to add: shoal +1. bugged, won't let me add.\r\n\r\nThe masked figure known as the Hempen Man has been making speeches denouncing the cult of the Maw, and arguing that placating the Maw can no longer guarantee their future. they are reluctant and fearful to tell you more.
>>>	Teaser	\r\n> to add: shoal +1...
>>	Description	A slow and deliberate affair; the two brawlers silently grapple, rolling like crocodiles. Acute observation may yield some insight into underwater combat, but it will not be easy.
>>>	Description	over too fast: the other drinkers gather in a loose floating sphere making slow, gonging chants of encouragement to the two women grimly grappling one another. After it is over, it is a moment before you realise that one of the fighters floats dead; the rest return to their drinks while the barman billhooks the body out of the back door. there is no watch to call, even if any were inclined to do so.
>>>	Teaser	over too fast: the other drinkers gather in a loose floating sphere making slow, gonging chants of encouragement to the two women grimly grappling one another...
>>	Name	Observe a fight
>>>	Description	observed.\r\n\r\nis it ok to have this be grindable? if not, is there another currency to offer that's vaguely equivalent?
>>>	Teaser	observed...
>	Name	The Crowded MouthBROKEN
>	Description	A tall tooth has been carved into a spiralled cone. It is ringed with delicate patterns, each band representing a stratum of Nook society. It is an honest depiction of the population. The lowest band is oppressively intricate, with hooks and blades gouged into its design. The pinnacle is unmarred and highly polished. The elite find life smooth-living, here. \r\n\r\nToday the shrine seems popular. Is this piety caused by the constant shaking of the ground, or are the Nookers a devout group?
>	Teaser	A tall tooth has been carved into a spiralled cone...
>>	Description	Make an offering to the Maw.
>>>	Description	"Our ancestors entered the Maw fleeing tyranny, with nothing but the sacred knives they held in their teeth. Their enemies left them to their fates, assuming that none could survive in this deepest, darkest, sharpest of crevices. Yet, here in the mouth of providence, they prospered, and we continue to thrive in the Maw's sacred rumination." The sermon over, offerings are loaded into a crate and floated up to the very top of the temple, weighted down, and then pushed out into open water, to fall eventually down into the belly of the Maw. For an instant, a vision overcomes you: you are swimming through the open Zee, dwarfing creatures and reefs alike. The stars are visible through miles of water above. The vision is gone; you are left feeling suddenly, ludicrously small.
>>>	Teaser	"Our ancestors entered the Maw fleeing tyranny, with nothing but the sacred knives they held in their teeth...
>>>	Name	Offerings
>>	Name	Feeding time
>>	Description	Return to central Nook.
>>	Name	Leave the Maw-Shrine
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown
>>	Description	The priests are leading some kind of ceremony. Nooker after Nooker is kneeing before the shrine, then tossing something into a large crate. You could join them. 
>>>	Description	"But Nook is <i>our</i> home. I appreciate your instincts - but your prayers are useless, if you do not know our god. Leave us to our ceremony. The Maw will settle without you." The priest smiles toothily; it seems intended as reassuring. Your offering will not be accepted. 
>>>	Teaser	"But Nook is <i>our</i> home...
>>>	Name	"A kind gesture, Trespasser."
>>	Name	Make an offering to the Maw
>>	Description	The priests must be concerned for the well being of their congregants. Have they any insight into the events causing the Nookers such fear?
>>>	Description	"Shh! You're disturbing His Eminence! Have you no respect?" \r\n\r\nApparently absolute silence is required when the priest with the tallest hat takes his after-dinner constitutional around the temple.
>>>	Teaser	"Shh! - 
>>>	Name	Reverent hush
>>	Name	Pursue your Investigations
>>>	Description	"The Maw will settle herself," a junior Exarch tells you. "She shelters us, as she always will - if we maintain our faith." His smile aims for 'beatific', but hits 'smug'. "But is there any wonder she stirs, when ingrates plot against her? Speak of <i>killing</i> her? That Hempen Man leads our people astray, drags them down into his cult."  \r\n\r\nBut has this Hempen Man led the children away? Are they among his devotees?\r\n\r\n"<i>I</i> don't know. I'm a priest, not a detective. But if you want to find unsavoury things -" he gurns as if he'd just breathed stagnant water - "I'd visit unsavoury people. The Nerveless are like a dead tooth. They have lost their connection to the Maw. Find them." 
>>>	Teaser	"The Maw will settle herself," a junior Exarch tells you...
>>>	Name	Blind faith
>	Name	The Maw-Shrine
>	Description	The game is played with an eel in a box. The rules are unclear - or ignored. It seems to involve cards, but mainly consists of players antagonising the eel, opening the box, and letting matters resolve themselves.
>	Teaser	The game is played with an eel in a box...
>>	Description	Leave the players to their arguments over the Spiral Rule. It's not like any of them obey it. 
>>	Name	Return to the Ivories
>>	Description	A reply of sorts from the Conodont's sister on Anthe.
>>>	Description	"No doubt she told you to punch me," he says when he sees you empty-handed. "Or... stab me?" A slow smile spreads across his face. "Steal my leg?" He laughs, and slaps his mahogany thigh. "Yes, That's Rosina. I am glad she lives yet, though I wouldn't wish her fate on anyone. Not even myself. Oh, I've paid my price for choices made long ago, and more. But there's no justice where there can be no atonement. That's why I founded this place," he says, looking around at the enamel walls of Nook. "Only the zee's justice here. That is my punishment. That and this, of course," and he shows you the hand he conceals. Not a hand; dozens of pale, translucent cilia undulate in the water. "At least the eels have no taste for me anymore," he says.
>>>	Teaser	"No doubt she told you to punch me," he says when he sees you empty-handed...
>>>	Name	Every reunion is a duel.
>>	Name	Give the Conodont the reply
>>>	Description	You finish the game only lightly nibbled, and holding every card in the House of Bladders. It's enough to put you over the top. They are impressed that a Trespasser managed to even finish a game. The number of urchin spines you accumulated in the back of your hand determines your share of the pot, and it is surprisingly rich pickings. Not bad for a beginner.
>>>	Teaser	You finish the game only lightly nibbled, and holding every card in the House of Bladders...
>>>	Name	Victory! - you're told.
>>	Description	Nook may have no rules, but its residents are more than capable of enforcing their opinions. Trespassers may play in <i>this</i> group. The other clusters of players are only interested in challenging fellow Nookers. \r\n\r\n<i>A matter of luck. It could go either way.</i>
>>>	Description	You begin to wonder whether the whole game is a prank. Or worse, a <i>satire</i>. The other players confidently cite rules and regulations that keep you at the bottom of the table. But surely the requirement that all sixes be under-rolled contradicts the <i>en passant</i> rule? \r\n\r\n"That's the game," one Nooker shrugs. "You'd think a bubble-mouth would understand that life's not fair." The rest chuckle, and split your stake. At least the loser ends up spending the least time with the eel.
>>>	Teaser	You begin to wonder whether the whole game is a prank...
>>>	Name	"No, see - your third counter is out of check. You go back to the start."
>>	Name	Open to Trespassers
>>	Description	"I have a job for you."
>>>	Description	The Conodont lifts his robe, revealing a mahogany leg encrusted with barnacles. He opens a compartment in the thigh, and draws out a wax-paper letter, with a seven-armed octopus seal. "For my sister. Last I heard she was on Anthe," he says, handing you the letter. "I've been breathing Nook water too long; I can't venture out into the Empty, not anymore." He leans back. "Chances are she'll tear it up. I would. But promise me, one way or another you'll tell her I'm sorry."
>>>	Teaser	The Conodont lifts his robe, revealing a mahogany leg encrusted with barnacles...
>>>	Name	A message
>>	Name	Speak to the Conodont
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown
>>>	Description	The Nooker to your left folds in the face of a double umpire. You add her discarded cards to your own collection - building your hand to a twelve-armed carpenter. You misplay the third dice, but recover by eating it. \r\n\r\nDistracted by the choking sounds the spined item forces you to make, another player drops their guard to reveal a planned lower House. From there, your victory is inevitable. 
>>>	Teaser	The Nooker to your left folds in the face of a double umpire...
>>>	Name	Mastery!
>>	Description	You're not a Nooker, but they'll treat you as one. And welcome you into the higher stakes games. The rules are... Well, the rules are as inscrutable as before.\r\n\r\n<i>A matter of luck. It could go either way.</i>
>>>	Description	At this level the game adds in a bewildering array of spiny dice and three extra sets of cards. Turn order depends on the day of the week. But there is <i>always</i> the eel. \r\n\r\nAnd that is your undoing. Apparently the correct reaction to a mid-game argument about the scale-colour of the eel was to declare the manoeuvre void, because the players involved were playing adjacently, not orthogonally. Who knew?
>>>	Teaser	At this level the game adds in a bewildering array of spiny dice and three extra sets of cards...
>>>	Name	Not cheating, as such...
>>	Name	Play as one of the Locals
>>	Description	The Almost Dead Man wrote a letter of apology to an old friend. Hopefully the ragged man in the corner is forgiving .
>>>	Description	Keeping one hand firmly concealed in his coat, the large man accepts the letter and gestures for you to sit. He reads in silence. Several passages are examined at length. At times he turns his gaze on you, then returns to the letter. When he finishes, he crumples the letter in his fist lets out a booming laugh.\r\n\r\n"Sounds like Lorenzo's been stewing in his memories for too long! Tell him all's forgiven - he'd take the blame for London's fall, if he could!"
>>>	Teaser	Keeping one hand firmly concealed in his coat, the large man accepts the letter and gestures for you to sit...
>>>	Name	A tense moment
>>	Name	Deliver an apology to the Conodont
>>	Description	Leave the players to their arguments over the Spiral Rule. It's not like any of them obey it. 
>>	Name	Return to the Ivories
>>	Description	He floats in a quiet corner, filing the teeth of the eels in his own personal Snaplamprey set. He is said to be the game's only master.
>>>	Description	Ordinarily in Snaplamprey, you barely understand why you are losing or winning, but here every move is clearly signaled, every trap the Conodont builds is obvious from three moves away, and yet you always seem to end up exactly where he wants you. You lose with an overwhelming sense of inevitability. "Shame," is all he says as he returns to manicuring his eels. "I wondered if you might be who I'm looking for."
>>>	Teaser	Ordinarily in Snaplamprey, you barely understand why you are losing or winning, but here every move is clearly signaled, every trap the Conodont builds is obvious from three moves away, and yet you always seem to end up exactly where he wants you...
>>>	Name	The donkey
>>	Name	Challenge the Conodont
>>>	Description	He plays in silence, keeping one hand concealed in his coat. You watch and wait, matching his every move, until the very end when a clever cash-out lets you trap his Captain against the eel-box. He snaps his dice-rake, signalling capitulation, and then suddenly laughs in something almost like relief. All around you seasoned players are goggling. "Come and see me," the Conodont says as he leaves. "I have need of an bubble-mouth with some gumption."
>>>	Teaser	He plays in silence, keeping one hand concealed in his coat...
>>>	Name	Match play
>>	Description	This is a Nooker game, after all. There is no cheating, per se: anything up to and including <i>eating the board</i> is considiered a valid move.
>>>	Description	It is a bold attempt, but the eel proves uncooperative. It escapes when you try to shift the box widdershins, and soon dice and players are scattering in every direction. Apparently, this alone would be a winning move, but you forgot to declare a carryover before you did it, so all bites are void. The other players grin while ducking the enraged eel. "That's Snaplamprey, for you," one says. "Better luck next time!"
>>>	Teaser	It is a bold attempt, but the eel proves uncooperative...
>>>	Name	Aces are wild. Sadly, so are eels.
>>	Name	Seize the eel
>>>	Description	You muscle your way across the board, distract other players with dangerously thrown dice and overturn the eel-box, trapping the eel within. The other players eye you askance, but you brazenly cite the Rule of Incisors and dare them to contradict you. A pause; laughter. "Maybe we'll make a Nooker of you yet," one says, blushing slightly as he meets your gaze. 
>>>	Teaser	You muscle your way across the board, distract other players with dangerously thrown dice and overturn the eel-box, trapping the eel within...
>>>	Name	More like guidelines
>	Name	Play a round of Snaplamprey
>	Description	Nook's poor reside in chambers and tunnels crudely carved into the confusion of stunted teeth that grow in the lower rings. The occasional calico banner twisting in the currents marks the house of a relatively well-to-do dockmaster or landlord.
>	Teaser	Nook's poor reside in chambers and tunnels crudely carved into the confusion of stunted teeth that grow in the lower rings...
>>	Description	A local woman runs an orphanage for Nook-children who have lost their parents. If children are going missing, someone there should know about it.
>>	Name	Investigate the orphanage
>>	Description	The miners hollow out new teeth before the dentarchitects turn them into dwellings. They work close to the Maw, <i>in</i> the Maw, even. They must know something about the quakes.
>>	Name	Investigate the Pulp-Mines
>>	Description	She is already imperiously interviewing passers-by. Three children play at her feet. She upbraids the children, but fondly.
>>>	Description	"Ah, there you are. Good show. Do you know, I could almost believe you got here before I did." She laughs gaily. "And look! Children. They aren't all gone. Those silly Nookers must be exaggerating. It's probably just a couple playing hide-and-seek. That makes far more sense." \r\n\r\nThe Maw shudders; its teeth groan together. A deep bass roar rumbles up through the very enamel of the city. The children run shrieking. The Deductress flinches. "I'll make sure these get safely back to the orphanage. We'll meet again."
>>>	Teaser	"Ah, there you are...
>>>	Name	Final Act
>>	Name	Speak to the Deductress
>>	Description	The mob needs to vent its spleen - it wants a target. Mrs Collier betrayed her charges. She deserves to suffer. Rile the mob with the truth.
>>>	Description	There is no fire in Nook, of course, but after what the mob does to the orphanage, you newly appreciate the beauty of a conflagration. Fortunately, the three remaining orphans can escape via an upper window. \r\n\r\nMrs Collier is trussed up by the crowd. She floats, helplessly, as members of the mob affix small weights to the rope binding her. She moans and begs for mercy. Finally, she is shoved out over the Gullet. Her howls continue long after she has sunk out of sight.
>>>	Teaser	There is no fire in Nook, of course, but after what the mob does to the orphanage, you newly appreciate the beauty of a conflagration...
>>>	Name	Ravaged
>>	Name	Divert the Mob's attention to the orphanage
>>	Description	The miners were seduced by the Hempen Man's promise to kill the Maw, and the implication of vast profit. They have sinned against the Maw. The mob will love that.
>>>	Description	There is no fire in Nook, of course, but after what the mob does to the mineworks, you newly appreciate the beauty of a conflagration. Fortunately, most of the miners escape with only minor injuries.\r\n\r\nThe foreman is foolish enough to stand up for his workers. He is grabbed and trussed up by the crowd. He floats, helplessly, as members of the mob affix small weights to the rope binding him. When he realises their intention, he moans and begs for mercy. Finally, he is shoved out over the Gullet. His howls continue long after he has sunk out of sight.
>>>	Teaser	There is no fire in Nook, of course, but after what the mob does to the mineworks, you newly appreciate the beauty of a conflagration...
>>>	Name	Ravaged
>>	Name	Divert the Mob's attention to the miners
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown
>>	Description	Return to central Nook.
>>	Name	Leave the Cavities
>>	Description	This mob is out for blood. The miners were foolish and Mrs Collier unforgivably negligent - but none of them deserves to be taken by this crowd. [This will temporarily remove you from Nook, and will wound you.]
>>>	Description	The mob has grown. It is a gleeful, hungry, howling crowd. This time, you've no hope of fighting them off. You must flee, but tactically. Swim too fast, and they'll tire - and find an easier target. Swim too slow, and you'll be overwhelmed.\r\n\r\nYou over-emphasise your ungainly Trespasser swimming style. The mob is hooked. "We're going to throw you in the Gullet, Trespasser!" The rest of what they shout is incoherent with rage. Swim. Swim faster. \r\n\r\nToo close. Your leg is clawed and bleeding by the time you reach your zub. Do all Nookers keep their nails that sharp?
>>>	Teaser	The mob has grown...
>>	Name	Brave the Mob's Wrath Yourself
>>	Description	The shouting of the Mob makes the water pulse unpleasantly - and you've drawn their attention. They'll need to vent their fury before they'll let you continue your investigations.
>>	Name	The Mob has made its way to the Cavities
>>	Description	Return to central Nook.
>>	Name	Leave the Cavities
>>	Description	Return to central Nook.
>>	Name	Leave the Cavities
>>	Description	Return to central Nook.
>>	Name	Leave the Cavities
>	Name	The Cavities
>	Description	This is 'Mrs Collier's Home for Foundlings, Orphans and Sundry Misfortunates'. The children here have lost their parents in mining accidents, or brawls. A few have <i>been</i> lost. After all, many Nookers find the idea of children more palatable then the reality. \r\n\r\nWhy the mob then? The same Nookers also appreciate the importance of being seen to do the right thing.
>	Teaser	This is 'Mrs Collier's Home for Foundlings, Orphans and Sundry Misfortunates'...
>>	Description	You're done here for now. 
>>	Name	Return to the Cavities
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown
>>	Description	It's not just the mob. That could be dismissed. The trader was worrying about children too. Are any children missing from here?
>>>	Description	That's the point, isn't it? <i>What</i> children. It's oddly quiet here. The only children you've seen here are the three recently delivered by the Deductress. This is a huge building. Where are the rest? \r\n\r\n"Asleep. All the children are still here. Definitely here. Sleeping. Go away before you wake them." Mrs Collier's smile is fixed. She pats frantically at her wig, which keeps threatening to float away. 
>>>	Teaser	That's the point, isn't it?
>>>	Name	"Children? What children?"
>>	Name	Pursue your investigation
>>	Description	She's obviously worried and, more importantly, clearly lying. What's going on?
>>>	Description	"I'm terribly busy you know, terribly busy," she says, recapturing her wig and pressing it into place. "I have so many children to care for. Please leave."\r\n\r\nWhere?\r\n\r\n"Oh! Ah. Naughty tadpoles! Where have they got to?" She looks wildly about her and swims rapidly off, calling out in a sickly sweet voice.
>>>	Teaser	"I'm terribly busy you know, terribly busy," she says, recapturing her wig and pressing it into place...
>>	Name	Press the point
>>>	Description	Her smile wobbles, folds, and disappears. "The Maw has always stirred. It has always taken the odd child. And <i>now</i> people care? Now the Maw quakes come all the time, now that scores are missing, <i>now</i> people notice?"\r\n\r\nHer confession is interrupted with great heaving sobs. It's some while before she can speak. "No one cared when it was my Freddy. The Maw ground him up like a morsel - and no one cared."  She raises her chin, attempting defiance. "He promised he'd kill her. The Hempen Man promised me he'd kill the Maw. It wouldn't take any more children. He just needed a bit of help. And afterwards the little workers would return safe. They'll come back. He promised."
>>>	Teaser	Her smile wobbles, folds, and disappears...
>>>	Name	"Oh Maw! I believed it was for the best!"
>	Name	The Orphanage
>	Description	Miners work on one tooth at a time: carefully severing and cauterising the nerve-cord, excavating the pulp for rendering and sale, and leaving behind the crown to be carved and polished. \r\n\r\nThe huge eel-drawn zee-wagons are piled high with slabs of something rich and bloody. Are the Miners trading in more than just pulp?
>	Teaser	Miners work on one tooth at a time: carefully severing and cauterising the nerve-cord, excavating the pulp for rendering and sale, and leaving behind the crown to be carved and polished...
>>	Description	The noise of the mining-engines surrounds you. It's less unpleasant elsewhere.
>>	Name	Return to the Cavities
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown
>>	Description	The foreman is treading water amid skeins of blood. What is going on? Did <i>they</i> cause the Maw quakes?
>>>	Description	The miners heft their drills and shovels and do their best to ignore you. The foreman occupies himself shouting at already focused workers. Somehow he always needs to be elsewhere when you swim near. There is a strange taste to the water here - metallic, bitter... rich.
>>>	Teaser	The miners heft their drills and shovels and do their best to ignore you...
>>	Name	Pursue your investigations
>>>	Description	"We were digging deeper and deeper. Quotas, you know?" He seems eager to confess. "We started digging out gum-meat. Them in the Upper Rings have a taste for it. Profits were up. But the Maw became restless." \r\n\r\nHe shrugs. "We were going to have to stop. But then the Hempen Man came. Said he could kill the Maw, leave the meat - generations and generations' worth. And all he wanted was the nerve-cord." He points to the fibrous bundles stacked to one side. "What could be the harm? We used to just throw it away. Now his Nerveless collect it. He's building something in the Gullet." \r\n\r\nThe city shakes violently. In the water, it's hard to tell if the foreman blanches. "He said it'd get worse before it stops. He'll end it, soon. He must."
>>>	Teaser	"We were digging deeper and deeper...
>>>	Name	Bloody business
>	Name	The Pulp-Mines
>	Description	A colossal bore is cutting into the wall of the gullet. The water is tinged with a miasma of blood. Weary-looking children chained to a swim-wheel are driving the bore. Another group floats, crossed legs, knotting nerve-cord into a long line. 
>	Teaser	A colossal bore is cutting into the wall of the gullet...
>>	Description	The Hempen Man's tone is angry, and... anxious?
>>>	Description	"Don't worry you si- you villain! I'm here." She turns, and sweeps you a mock bow. "First time in a decade that a Nemesis has beaten me to the end. I'd tip my hat to you, if it didn't keep floating away."\r\n\r\n"Can we get on?" The Hempen Man sounds impatient.\r\n\r\n"Don't rush me, Arnold. And take off that ridiculous getup." The Deductress frowns. "This certainly is not your finest work. And why did you have to involve children? You know I hate that."\r\n\r\n"Couldn't have converted my Nerveless if I could only promise them hard work." The Hempen Man is ignoring you entirely. "Look Mina - I can save this city. The people needn't live in a gulping monster. I can do something <i>good</i> for once." He darts backwards towards the wound, swimming like a Nooker. "You shan't stop me."\r\n\r\n"What - you can't!" the Deductress cries, aghast. "<i>I'm</i> the hero! Come back here!"
>>>	Teaser	"Don't worry you si- you villain! - 
>>>	Name	The Debonair Deductress emerges from the blood-fog.
>>	Name	"What have you done with her?"
>>	Description	The lungweed is wearing off. You have to get to air. Swim for your ship - fast!
>>>	Description	You claw wildly through the water towards your vessel. Your aim is desperate; dark blotches and white cracks flare through your vision. The effort of not breathing burns. The airlock is ready, open; but it must be closed and emptied. Finally, air inches into the top of the chamber. You cough and retch the Nookwater from your lungs. 
>>>	Teaser	You claw wildly through the water towards your vessel...
>>>	Name	Too close
>>	Name	The Creeping Drown 
>>	Description	Return to central Nook.
>>	Name	Leave the Cleft
>>	Description	The bore looks fairly ramshackle. It should be easy enough to destroy - if you can remove a couple of key components.
>>>	Description	A woven-hooded member of the Hempen Man's Nerveless cult patrols the bore's structure. You swim past him easily enough, but cannot spot a swift way way to destroy the mechanism before the patrol returns and you are forced to retreat. You will have to try again.
>>>	Teaser	A woven-hooded member of the Hempen Man's Nerveless cult patrols the bore's structure...
>>	Name	Destroy the workings
>>>	Description	The bore and its workings are guarded by a Nerveless cultist. But he is preoccupied with encouraging the children - via shouted curses, mostly - and you swim past undetected. \r\n\r\nA target for sabotage becomes obvious: each of the bore's supports is held together with one huge pin. Pull these out and- There! The bore creaks, groans, then buckles. The drill-bit bends and twists inside the Maw's flesh; the water fills with a fog of blood. Children and cultists flee for the higher levels.\r\n\r\nThe debris is a mass of sinking and floating parts jostling for freedom. It would be dangerous to linger here. The only shelter is by the raw, torn lip of the huge cut. \r\n\r\nThe blood clears, revealing the Hempen Man. "At last we meet, Miss- Hold on. Who are you?"
>>>	Teaser	The bore and its workings are guarded by a Nerveless cultist...
>>	Description	The children working on the nerve-cord are being guarded diligently by a Nerveless cultist. But the cord itself is unattended. 
>>>	Description	You swim past the cultist guarding the weaving children easily enough - but the two feeding the rope into the borehole are edgy, and vigilant. You can't get close without risking attention. You'll need to try again, or something else.
>>>	Teaser	You swim past the cultist guarding the weaving children easily enough - but the two feeding the rope into the borehole are edgy, and vigilant...
>>	Name	Sabotage the nerve-cord
>>>	Description	As the nerve-cord is woven into a colossal rope, the Nerveless feed it into the bloody hole drilled in the Gullet wall. From the size of the reels they've been using, the rope must go fathoms deep.\r\n\r\nThe children spot you as you swim past, but say nothing. One risks a hopeful smile. You grab the nerve-cord and haul. The Maw writhes in agony. Blood from the wound fogs the water. Children and cultists flee for the higher levels and the Gullet convulses. \r\n\r\nThe blood clears, revealing the Hempen Man. "At last we meet, Miss- Hold on. Who are you?"
>>>	Teaser	As the nerve-cord is woven into a colossal rope, the Nerveless feed it into the bloody hole drilled in the Gullet wall...
>	Name	The Cleft
>	Description	The Deductress chases the Hempen Man - Arnold - deeper into the red, raw tunnel of the wound. The water is thickening with blood.
>	Teaser	The Deductress chases the Hempen Man - Arnold - deeper into the red, raw tunnel of the wound...
>>	Description	His mask has slipped from his head. He is revealed as a clammy, balding man.
>>>	Description	"These people live in the mouth of a monster!" Arnold shouts to the Deductress. "Their protector one minute, destroyer the next - just like you and me! But I can end it! I've located the creature's brain. If I send a shock down the nerve-cord, I can kill it!"\r\n\r\n"You're not yourself, Arnold!" the Deductress cries. "It's your turn to play <i>villain</i>. You're doing it wrong!" \r\n\r\nArnold replies with a scream. The tunnel walls are glowing with a crawling, crimson light. He switches direction and flees towards you; the tunnel seals behind him. The Maw flesh is healing, knitting itself together. You have to get out.
>>>	Teaser	"These people live in the mouth of a monster! - 
>>	Name	Try to catch Arnold
>>	Description	Her hair has escaped its bun; it whips wildly in the current. Her teeth are bared.
>>>	Description	"He's not himself!" the Deductress cries. "It's his turn to play <i>villain</i>. He's doing it wrong!" \r\n\r\n"These people live in the mouth of a monster!" Arnold is shouting from deeper in the tunnel. "Their protector one minute, destroyer the next - just like you and me! But I can end it! I've located the creature's brain. If I send a shock down the nerve-cord, I can kill it!"\r\n\r\nHe laughs, and then he is screaming instead. The tunnel walls are glowing with a crawling, crimson light. He switches direction and flees towards you; the tunnel seals behind him. The Maw flesh is healing, knitting itself together. You have to get out.
>>>	Teaser	"He's not himself! - 
>>	Name	Try to talk sense into the Deductress
>>	Description	They're a fairly horrible pair. But it might be worth finding out what they're up to.
>>>	Description	"These people live in the mouth of a monster!" Arnold shouts to the Deductress. "Their protector one minute, destroyer the next - just like you and me! But I can end it! I've located the creature's brain. If I send a shock down the nerve-cord, I can kill it!"\r\n\r\n"You're not yourself, Arnold!" the Deductress cries. "It's your turn to play <i>villain</i>. You're doing it wrong!" \r\n\r\nArnold replies with a scream. The tunnel walls are glowing with a crawling, crimson light. He switches direction and flees towards you; the tunnel seals behind him. The Maw flesh is healing, knitting itself together. You have to get out.
>>>	Teaser	"These people live in the mouth of a monster! - 
>>	Name	Follow, and observe
>	Name	A Blood Filled Tunnel
>	Description	The place is shaking itself apart. 
>	Teaser	The place is shaking itself apart...
>>	Description	Someone will pay for this stuff.
>>>	Description	<minor rewards>
>>>	Teaser	<minor rewards>
>>	Name	Save the nerveline
>>>	Description	<major rewards>
>>>	Teaser	<major rewards>
>>	Description	Nooklings are tough; but not that tough.
>>>	Description	<minor rewards>
>>>	Teaser	<minor rewards>
>>	Name	Save the kids
>>>	Description	<major rewards; adulation of populace>
>>>	Teaser	<major rewards; adulation of populace>
>	Name	(REDUNDANT) The Cleft Collapses (REDUNDANT)
>	Description	The swim against the Gullet's current is an exhausting one. By the time you are back in the Upper Rings, gongs are ringing. The orphans made their way up from the Gullet safely; their return is being celebrated. \r\n\r\nThe Maw shifts occasionally, but already the quakes are gentler, and less frequent. 
>	Teaser	The swim against the Gullet's current is an exhausting one...
>>	Description	Rumpled, pink-faced Arnold is preparing to leave Nook.
>>>	Description	"Goodbye," he says, not without warmth. "It was a pleasure working against you. Me? What will I do?" he says - though you did not ask. "Travel the Unterzee, I suppose. Look for purpose. Find some other heroism to perform. You can't thwart me every time." \r\n\r\nHe passes you a small folder. "Collected this on a previous escapade. This is Mina's share. Didn't have a chance to give it to her. You keep it. You made a fine Nemesis." He picks up his battered, soggy suitcase and enters the door of a merchant zubmarine. The door shuts, and he is gone.\r\n\r\nA Nook dock worker swims over. "Word has spread. It's not like a Trespasser to be so helpful. So, ah, thank you." 
>>>	Teaser	"Goodbye," he says, not without warmth...
>>	Name	See Arnold off
>>	Description	She is swimming towards a merchant submarine, attempting to whistle. The bubbling noise is cheery.
